"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"4894",450.26224000273,-3.10889812507266,0.120040919908217,-25.8986529547566,6.89649728883572e-148,6.0862620983749e-146,NA,"4894",NA
"4961",710.546799779895,2.15452232893399,0.0832907838824376,25.8674757098581,1.54742484470231e-147,1.35749686673944e-145,NA,"4961",NA
"10851",3014.55720899113,-1.20897759514725,0.0467677329196728,-25.8506778000927,2.39077662908435e-147,2.08492697984882e-145,NA,"10851",NA
"4922",4009.60870282584,1.45380413992701,0.0563313182849191,25.8080972395105,7.19288029778488e-147,6.23580410757374e-145,"NTS","4922","neurotensin"
"6220",17874.1195224617,-1.0586818302789,0.0411586154534384,-25.7219981434156,6.63385196029173e-146,5.71752691174149e-144,NA,"6220",NA
"19242",1292.73730450521,-1.75351824099341,0.0683097887133886,-25.670087318682,2.52317345658975e-145,2.16200758158255e-143,NA,"19242",NA
"6945",2836.38350867057,1.32523688102385,0.0516721528192918,25.647022791144,4.56407588609899e-145,3.88817054389173e-143,"MLX","6945","MAX dimerization protein MLX"
"14424",28278.3402998713,-0.988251215382308,0.0385656401946681,-25.6251733510426,7.99806922800003e-145,6.77445656794623e-143,NA,"14424",NA
"1423",4951.47819637122,-1.05787565285402,0.0413543185472072,-25.5807782601089,2.49675089265142e-144,2.10269226605124e-142,"CRYGFP","1423","crystallin gamma F, pseudogene"
"6772",2941.35331768419,1.62321277603991,0.0634674454083233,25.5755177413685,2.85693568373526e-144,2.39235898334604e-142,"STAT1","6772","signal transducer and activator of transcription 1"
"15213",406.777106119105,-3.16899768726314,0.124227297553712,-25.5096725894159,1.53970462145188e-143,1.28204331700327e-141,NA,"15213",NA
"7607",13741.7986166577,1.03363762592484,0.0405808196141013,25.4710879611131,4.12322866161842e-143,3.41394067499619e-141,NA,"7607",NA
"11212",1002.41705891287,1.80811839027133,0.0710165913486628,25.4605065652081,5.40062364883214e-143,4.44661404114459e-141,"PLPBP","11212","pyridoxal phosphate binding protein"
"17618",1240.61918348325,1.61349394133614,0.0634210243025191,25.440994671416,8.88061742422412e-143,7.27125219990083e-141,NA,"17618",NA
"9496",2756.95550510449,-1.2641873073055,0.049955121453082,-25.3064604895983,2.71182096394758e-141,2.20811145672151e-139,"TBX4","9496","T-box transcription factor 4"
"7387",1237.15518256482,1.61939777137647,0.0642144753399858,25.2185782536182,2.50585474849644e-140,2.02919160897476e-138,NA,"7387",NA
"10458",556.856531079937,-2.37829288221885,0.0943256734040185,-25.2136326875937,2.83923123310664e-140,2.28658961276097e-138,"BAIAP2","10458","BAR/IMD domain containing adaptor protein 2"
"12553",2131.92988407929,-1.5595041545844,0.0620491084881923,-25.1333853552653,2.14734664996659e-139,1.71997798517432e-137,NA,"12553",NA
"14261",2124.44876634206,1.40556424648424,0.0559821200993352,25.10737792692,4.13125628329246e-139,3.29115973530617e-137,NA,"14261",NA
"9623",934.406871097792,-1.97322411635243,0.0786211036151958,-25.0978938938609,5.24372642244806e-139,4.15494838785158e-137,"TCL1B","9623","TCL1 family AKT coactivator B"
"4722",921.332962951573,1.91563311381307,0.0764403453832773,25.0604978850888,1.34150959617641e-138,1.0572817341416e-136,"NDUFS3","4722","NADH:ubiquinone oxidoreductase core subunit S3"
"11605",1948.50883733891,1.75776345280773,0.0702045117680102,25.0377562430208,2.37348380710992e-138,1.86065980580777e-136,NA,"11605",NA
"13093",1812.56672576679,-1.39013017854898,0.0556427615880906,-24.9831269849573,9.32629692324796e-138,7.27253778067876e-136,NA,"13093",NA
"7395",5605.07446406258,1.13270774580573,0.0455250137237972,24.8809973496754,1.19488926274996e-136,9.26856734442574e-135,NA,"7395",NA
"19255",601.648439964638,-2.19696953727633,0.088545291128342,-24.8118167468887,6.68401138783517e-136,5.1575371640793e-134,NA,"19255",NA
"6051",594.764952135933,-2.53736074346003,0.102393456215425,-24.7804970868615,1.45499059390016e-135,1.11685684233857e-133,"RNPEP","6051","arginyl aminopeptidase"
"6582",6125.61860488633,1.14057903778713,0.046108957674238,24.7366042374104,4.32101302615784e-135,3.29964196785048e-133,"SLC22A2","6582","solute carrier family 22 member 2"
"6823",381.182790486167,-3.06334361005129,0.123854621125926,-24.7333816227713,4.68015432619751e-135,3.55546981749995e-133,NA,"6823",NA
"17464",1647.22428540748,1.97002714131592,0.0797054373326916,24.716345675302,7.13654915790758e-135,5.39376725585856e-133,NA,"17464",NA
"5449",4969.97864352219,1.16532397139474,0.0471548203527701,24.7127221072381,7.8062936357119e-135,5.8698548777103e-133,"POU1F1","5449","POU class 1 homeobox 1"
